""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Apr 20, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,74268,75772,394395,392223,24760993,23185272,24737832,23232509,1637433,645535,1588205,674924,50697896,50701465
DII,393,5280,190834,157587,1250,970,190,2652,4420,542,13724,3101,198409,182534
FII,15823,14631,347270,367511,4158238,4115517,4197551,4140617,259101,147166,268103,145454,9043115,9133867
Pro,39260,34061,482150,497328,35051617,31095810,35036525,31021791,2888109,1724385,2919031,1694149,71281331,71202885
TOTAL,129744,129744,1414649,1414649,63972098,58397569,63972098,58397569,4789063,2517628,4789063,2517628,131220751,131220751
