""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Sep 27,2024"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,182137,194674,580588,563913,32977429,32612660,32936927,32932958,1469275,555497,1452156,562040,68377586,68642668
DII,83,0,80514,161280,0,0,0,0,0,0,17538,0,80597,178818
FII,72646,47590,496923,446777,8392852,8941546,8061848,8631717,393917,205688,356949,230815,18503572,17775696
Pro,117471,130073,736720,722775,46154604,44467840,46526110,44457371,2273376,1161700,2309925,1130030,94911711,95276284
TOTAL,372337,372337,1894745,1894745,87524885,86022046,87524885,86022046,4136568,1922885,4136568,1922885,181873466,181873466
