""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Jun 24,2024"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,318336,329210,880135,845241,69123550,61236547,69302198,61081954,1717355,664835,1771548,641697,133940758,133971848
DII,37533,52611,425083,490323,0,42379,0,1041,3953,0,1704,0,508948,545679
FII,175741,146298,1658857,1620223,13652497,12366630,13587717,12312930,437820,230197,439917,230532,28521742,28337617
Pro,185258,188749,890365,898653,117975738,104418092,117861870,104667723,3065105,1418638,3011064,1441441,227953196,228069500
TOTAL,716868,716868,3854440,3854440,200751785,178063648,200751785,178063648,5224233,2313670,5224233,2313670,390924644,390924644
