""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Oct 08,2024"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,277415,255728,390481,376206,129954916,108485578,130368751,108078856,1117750,534107,1134079,510510,240760247,240724130
DII,17283,1232,62010,59950,0,10000,0,0,4430,0,9427,0,93723,70609
FII,53405,93676,341028,359908,25620918,21618842,25374482,21739596,340131,208414,360208,211556,48182738,48139426
Pro,154128,151595,528781,526236,227755004,205688814,227587605,205984782,1867231,954102,1825828,974557,436948060,437050603
TOTAL,502231,502231,1322300,1322300,383330838,335803234,383330838,335803234,3329542,1696623,3329542,1696623,725984768,725984768
