""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Jun 30, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,72677,79436,359531,317981,10339805,11107989,10267300,11158116,1017472,335563,945993,359231,23233037,23128057
DII,1500,204,47588,58414,0,636,0,636,0,0,16776,0,49724,76030
FII,15873,20478,205180,253083,2667880,2783751,2714705,2806852,387914,181555,392542,176297,6242153,6363957
Pro,42523,32455,436891,419712,17656748,15396010,17682428,15322782,1384552,739095,1434627,720685,35655819,35612689
TOTAL,132573,132573,1049190,1049190,30664433,29288386,30664433,29288386,2789938,1256213,2789938,1256213,65180733,65180733
