""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Oct 17, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,77742,94996,469813,484469,33643853,25046572,33564202,25245357,2133580,754019,2068565,788749,62125579,62246338
DII,214,4640,136184,101858,0,16300,1200,0,39,0,12783,0,152737,120481
FII,36706,16288,397817,406403,6427301,5924827,6436324,5932637,379607,218362,380659,213698,13384620,13386009
Pro,58514,57252,635243,646327,51718160,40324238,51787588,40133943,3791528,2110518,3842747,2080452,98638201,98548309
TOTAL,173176,173176,1639057,1639057,91789314,71311937,91789314,71311937,6304754,3082899,6304754,3082899,174301137,174301137
