""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Feb 09, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,48409,58860,382459,383602,25570990,22068638,25530646,22071133,1842987,726594,1853263,669040,50640077,50566544
DII,5722,1870,80823,61521,400,120,175,1538,34,0,22856,35,87099,87995
FII,14888,10557,340919,329667,4189130,4716958,4137873,4740715,274530,146263,272026,156651,9682688,9647489
Pro,38437,36169,521165,550576,36985318,35308684,37077144,35281014,3295481,1715893,3264887,1763024,77864978,77972814
TOTAL,107456,107456,1325366,1325366,66745838,62094400,66745838,62094400,5413032,2588750,5413032,2588750,138274842,138274842
