""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Jul 12,2024"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,283966,290049,506058,581151,37906480,32552442,37896327,32528651,1999332,712349,2025253,679401,73960627,74000832
DII,76,4300,74795,52429,0,505,0,1200,0,0,9100,0,75376,67029
FII,66717,45954,444852,349920,8249174,7794743,8355783,7785926,531044,245613,534298,242548,17332143,17314429
Pro,150509,160965,729357,771562,52089422,47281085,51992966,47312998,2913335,1361513,2875060,1397526,104525221,104511077
TOTAL,501268,501268,1755062,1755062,98245076,87628775,98245076,87628775,5443711,2319475,5443711,2319475,195893367,195893367
