""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Aug 12,2024"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,284498,266722,452479,438579,77483515,68689717,77510226,68548381,1370408,704256,1336522,685637,148984873,148786067
DII,91,50,43260,63166,0,0,0,10700,63,0,7659,0,43414,81575
FII,42062,49284,334508,327794,17714377,14311966,17693681,14361690,365462,226861,374033,229467,32995236,33035949
Pro,167656,178251,619906,620614,139363139,119369274,139357124,119450186,2209857,1308553,2227576,1324566,263038385,263158317
TOTAL,494307,494307,1450153,1450153,234561031,202370957,234561031,202370957,3945790,2239670,3945790,2239670,445061908,445061908
