Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2002-07-01,311.799988,317.500000,307.000000,312.350006,139.962982,113852,0.000000,0.000000
2002-07-02,314.799988,323.000000,313.500000,315.399994,141.329666,166016,0.000000,0.000000
2002-07-03,316.250000,322.500000,312.000000,314.350006,140.859146,196486,0.000000,0.000000
2002-07-04,316.750000,319.850006,316.750000,318.149994,142.561966,233997,0.000000,0.000000
2002-07-05,319.899994,330.000000,319.899994,324.049988,145.205719,472596,0.000000,0.000000
2002-07-08,331.000000,340.000000,328.000000,338.850006,151.837555,317179,0.000000,0.000000
2002-07-09,339.299988,343.899994,333.000000,336.649994,150.851730,456642,0.000000,0.000000
2002-07-10,336.600006,338.000000,328.000000,329.500000,147.647842,98892,0.000000,0.000000
2002-07-11,330.000000,330.000000,322.250000,323.399994,144.914459,68794,0.000000,0.000000
2002-07-12,326.799988,332.000000,326.000000,327.950012,146.953308,63190,0.000000,0.000000
2002-07-15,328.000000,328.799988,319.000000,320.649994,143.682205,87809,0.000000,0.000000
2002-07-16,318.500000,320.950012,314.000000,315.000000,141.150467,47189,0.000000,0.000000
2002-07-17,314.100006,317.899994,305.000000,307.750000,137.901733,122953,0.000000,0.000000
2002-07-18,308.100006,315.000000,307.500000,312.250000,139.918213,173079,0.000000,0.000000
2002-07-19,300.000000,314.000000,300.000000,307.250000,137.677719,84246,0.000000,0.000000
2002-07-22,302.000000,307.700012,299.200012,301.899994,135.280396,103234,0.000000,0.000000
2002-07-23,300.000000,309.100006,298.049988,306.100006,137.162369,78746,0.000000,0.000000
2002-07-24,307.000000,309.750000,295.950012,299.049988,134.003311,189959,0.000000,0.000000
2002-07-25,312.000000,312.000000,284.549988,287.250000,128.715759,266291,0.000000,0.000000
2002-07-26,285.299988,289.700012,276.149994,278.500000,124.794945,178532,0.000000,0.000000
2002-07-29,279.899994,281.899994,246.050003,274.000000,122.778503,386909,0.000000,0.000000
2002-07-30,280.000000,289.000000,275.100006,276.500000,123.898727,254176,0.000000,0.000000
2002-07-31,255.000000,272.000000,255.000000,267.100006,119.686630,325601,0.000000,0.000000
2002-08-01,269.000000,279.899994,255.250000,262.799988,117.759804,438415,0.000000,0.000000
2002-08-02,260.000000,271.950012,255.500000,269.000000,120.537994,229465,0.000000,0.000000
2002-08-05,271.799988,280.100006,271.799988,276.250000,123.786743,297447,0.000000,0.000000
2002-08-06,277.399994,284.899994,272.100006,279.500000,125.243042,184716,0.000000,0.000000
2002-08-07,282.000000,284.899994,272.000000,273.399994,122.509613,164013,0.000000,0.000000
2002-08-08,275.799988,279.000000,272.000000,274.200012,122.868141,166449,0.000000,0.000000
2002-08-09,278.000000,278.000000,273.000000,275.500000,123.450653,94358,0.000000,0.000000
2002-08-12,276.700012,287.000000,275.000000,283.700012,127.125038,182823,0.000000,0.000000
2002-08-13,285.850006,288.000000,280.649994,285.700012,128.021194,156701,0.000000,0.000000
2002-08-14,279.200012,300.500000,279.200012,298.700012,133.846497,650771,0.000000,0.000000
2002-08-15,298.700012,298.700012,298.700012,298.700012,133.846497,0,0.000000,0.000000
2002-08-16,299.000000,306.000000,297.049988,300.600006,134.697845,762266,0.000000,0.000000
2002-08-19,303.000000,308.500000,298.000000,299.649994,134.272186,487314,0.000000,0.000000
2002-08-20,300.149994,303.750000,292.000000,294.149994,131.807617,259312,0.000000,0.000000
2002-08-21,294.899994,295.500000,281.549988,282.950012,126.788971,206978,0.000000,0.000000
2002-08-22,284.000000,286.850006,277.000000,278.000000,124.570831,203546,0.000000,0.000000
2002-08-23,282.500000,282.899994,272.000000,274.299988,122.912918,194880,0.000000,0.000000
2002-08-26,273.899994,281.899994,273.000000,277.500000,124.346848,169296,0.000000,0.000000
2002-08-27,282.000000,282.000000,269.500000,270.100006,121.030907,164835,0.000000,0.000000
2002-08-28,259.000000,275.000000,259.000000,273.750000,122.666428,88618,0.000000,0.000000
2002-08-29,277.500000,278.799988,264.000000,265.450012,118.947281,404807,0.000000,0.000000
2002-08-30,269.000000,271.700012,267.500000,269.000000,120.537994,204888,0.000000,0.000000
2002-09-02,275.000000,275.000000,266.600006,269.299988,120.672432,310499,0.000000,0.000000
2002-09-03,274.000000,275.000000,270.399994,274.000000,122.778503,117646,0.000000,0.000000
2002-09-04,272.500000,274.000000,268.000000,273.149994,122.397591,125061,0.000000,0.000000
2002-09-05,275.000000,277.000000,273.850006,275.100006,123.271385,245777,0.000000,0.000000
2002-09-06,275.799988,282.700012,274.250000,279.899994,125.422218,283714,0.000000,0.000000
2002-09-09,280.000000,280.000000,274.100006,276.149994,123.741867,251963,0.000000,0.000000
2002-09-10,276.149994,276.149994,276.149994,276.149994,123.741867,0,0.000000,0.000000
2002-09-11,277.799988,285.000000,276.000000,281.149994,125.982376,295020,0.000000,0.000000
2002-09-12,282.649994,283.899994,276.100006,279.149994,125.086205,124554,0.000000,0.000000
2002-09-13,279.000000,280.000000,275.500000,276.250000,123.786743,53643,0.000000,0.000000
2002-09-16,278.049988,278.750000,274.549988,275.100006,123.271385,28733,0.000000,0.000000
2002-09-17,275.000000,275.000000,273.200012,274.049988,122.800865,50392,0.000000,0.000000
2002-09-18,274.799988,275.750000,263.399994,266.450012,119.395370,142897,0.000000,0.000000
2002-09-19,270.100006,271.000000,250.500000,253.500000,113.592506,356542,0.000000,0.000000
2002-09-20,252.000000,265.000000,235.300003,258.500000,115.833008,584092,0.000000,0.000000
2002-09-23,260.000000,267.250000,260.000000,265.700012,119.059303,406385,0.000000,0.000000
2002-09-24,262.600006,275.000000,262.000000,270.399994,121.165321,405272,0.000000,0.000000
2002-09-25,269.000000,276.049988,265.000000,271.250000,121.546249,275355,0.000000,0.000000
2002-09-26,273.799988,279.000000,265.500000,267.100006,119.686630,147471,0.000000,0.000000
2002-09-27,269.799988,271.750000,266.299988,269.049988,120.560394,142003,0.000000,0.000000
2002-09-30,270.000000,270.450012,258.250000,260.149994,116.572342,290964,0.000000,0.000000
2002-10-01,260.049988,263.399994,247.600006,248.600006,111.396843,289011,0.000000,0.000000
2002-10-02,248.600006,248.600006,248.600006,248.600006,111.396843,0,0.000000,0.000000
2002-10-03,251.899994,253.500000,231.600006,233.399994,104.585770,670186,0.000000,0.000000
2002-10-04,236.000000,241.949997,234.149994,240.850006,107.924065,554248,0.000000,0.000000
2002-10-07,241.250000,246.800003,241.250000,245.000000,109.783653,113959,0.000000,0.000000
2002-10-08,245.949997,248.600006,244.100006,247.250000,110.791908,88763,0.000000,0.000000
2002-10-09,247.949997,265.250000,247.949997,261.700012,117.266884,509699,0.000000,0.000000
2002-10-10,258.000000,273.799988,254.050003,268.850006,120.470787,738387,0.000000,0.000000
2002-10-11,263.899994,266.899994,256.600006,258.500000,115.833008,360309,0.000000,0.000000
2002-10-14,262.799988,265.000000,258.399994,259.649994,116.348282,97833,0.000000,0.000000
2002-10-15,259.649994,259.649994,259.649994,259.649994,116.348282,0,0.000000,0.000000
2002-10-16,260.000000,264.950012,247.000000,248.149994,111.195190,262570,0.000000,0.000000
2002-10-17,249.800003,253.500000,235.100006,238.800003,107.005478,512707,0.000000,0.000000
2002-10-18,245.100006,257.899994,243.949997,255.800003,114.623131,810791,0.000000,0.000000
2002-10-21,257.100006,264.700012,250.949997,252.250000,113.032387,478714,0.000000,0.000000
2002-10-22,232.000000,254.000000,232.000000,236.350006,105.907646,629830,0.000000,0.000000
2002-10-23,238.649994,245.449997,230.699997,232.699997,104.272064,727425,0.000000,0.000000
2002-10-24,235.500000,239.899994,234.600006,237.699997,106.512566,369214,0.000000,0.000000
2002-10-25,239.899994,246.800003,235.750000,244.500000,109.559624,543559,0.000000,0.000000
2002-10-28,244.800003,248.000000,241.100006,245.300003,109.918083,233236,0.000000,0.000000
2002-10-29,246.800003,246.800003,234.000000,239.949997,107.520782,377029,0.000000,0.000000
2002-10-30,243.699997,244.800003,238.000000,241.100006,108.036102,155257,0.000000,0.000000
2002-10-31,242.699997,242.699997,235.050003,236.500000,105.974854,253562,0.000000,0.000000
2002-11-01,239.300003,244.100006,237.250000,240.199997,107.632835,371886,0.000000,0.000000
2002-11-04,243.000000,243.899994,241.149994,242.899994,108.842690,91077,0.000000,0.000000
2002-11-05,243.000000,244.000000,237.500000,240.000000,107.543213,222859,0.000000,0.000000
2002-11-06,240.000000,240.000000,240.000000,240.000000,107.543213,0,0.000000,0.000000
2002-11-07,241.000000,247.949997,238.000000,240.149994,107.610428,325023,0.000000,0.000000
2002-11-08,240.399994,253.899994,240.250000,252.899994,113.323639,756762,0.000000,0.000000
2002-11-11,255.000000,258.000000,247.600006,249.550003,111.822517,592658,0.000000,0.000000
2002-11-12,249.699997,262.500000,249.000000,260.549988,116.751556,643406,0.000000,0.000000
2002-11-13,262.500000,266.799988,258.100006,261.200012,117.042862,547409,0.000000,0.000000
2002-11-14,260.000000,261.500000,253.100006,254.750000,114.152618,225844,0.000000,0.000000
2002-11-15,255.000000,260.000000,252.000000,252.750000,113.256432,413411,0.000000,0.000000
2002-11-18,255.000000,257.899994,253.000000,254.800003,114.174995,322331,0.000000,0.000000
2002-11-19,254.800003,254.800003,254.800003,254.800003,114.174995,0,0.000000,0.000000
2002-11-20,256.899994,261.600006,252.550003,260.299988,116.639549,336527,0.000000,0.000000
2002-11-21,261.549988,265.000000,256.549988,258.250000,115.720940,521969,0.000000,0.000000
2002-11-22,260.200012,269.000000,259.100006,266.250000,119.305748,1113901,0.000000,0.000000
2002-11-25,267.500000,286.399994,265.250000,283.049988,126.833824,1636261,0.000000,0.000000
2002-11-26,283.700012,299.450012,280.100006,288.100006,129.096649,842073,0.000000,0.000000
2002-11-27,287.049988,287.950012,274.500000,279.799988,125.377457,455129,0.000000,0.000000
2002-11-28,286.000000,290.000000,281.799988,288.450012,129.253479,350652,0.000000,0.000000
2002-11-29,290.000000,293.950012,284.000000,286.149994,128.222839,347933,0.000000,0.000000
2002-12-02,289.000000,293.000000,283.100006,287.000000,128.603729,339824,0.000000,0.000000
2002-12-03,290.000000,292.649994,281.600006,282.450012,126.564941,317099,0.000000,0.000000
