""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Dec 05,2023"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,169323,204441,1668000,236628,5209176,6384330,5065202,6150310,941673,447385,635013,532473,14819886,12824066
DII,85715,48431,125878,1993102,0,68723,0,0,0,0,22482,0,280316,2064015
FII,118081,121799,1419809,1235289,1162899,1515136,1036334,1320026,47489,45516,65313,46076,4308930,3824837
Pro,40676,39124,426831,175499,1605843,1740031,1876383,2237883,392221,415693,658575,330045,4621295,5317509
TOTAL,413795,413795,3640518,3640518,7977918,9708219,7977918,9708219,1381383,908594,1381383,908594,24030427,24030427
