""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on May 27, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,181980,116169,2243618,381985,2640473,2013001,3229501,2633663,2179035,949029,1244159,1022049,10207136,8627526
DII,83097,73308,300075,4190398,70,45335,0,0,5176,1730,349353,0,435483,4613059
FII,56668,124087,3918735,2150736,1006189,1005050,623927,557185,477337,407982,633338,509134,6871962,4598407
Pro,30400,38581,711803,451112,1404109,1138279,1197413,1010816,1073487,1070130,1508185,897688,5428208,5103796
TOTAL,352145,352145,7174231,7174231,5050841,4201665,5050841,4201665,3735035,2428871,3735035,2428871,22942788,22942788
