""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Mar 05,2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,250774,101860,2473896,402844,2425090,2536434,2699005,2809123,1170959,662378,770410,750051,9519532,7533293
DII,89196,41538,176820,4237113,4870,13593,0,0,2747,0,60203,0,287226,4338854
FII,48788,233366,3652948,2075972,732056,895318,577455,598436,192733,180598,282510,259543,5702441,4027282
Pro,42206,54200,689028,276763,1220434,1142322,1105990,1180109,676959,786124,930275,619506,4557073,4166844
TOTAL,430964,430964,6992692,6992692,4382451,4587667,4382451,4587667,2043398,1629100,2043398,1629100,20066273,20066273
