""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Aug 25, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,203063,87442,2525888,313147,2679412,1913487,2766256,2379658,1911876,889099,1248165,1088152,10122825,7882820
DII,68632,41103,234599,4187175,370,44854,0,0,3423,0,211006,0,351878,4439284
FII,31241,201479,3533216,2171715,400256,549594,447635,287892,97131,129348,103591,80840,4740785,3293152
Pro,53135,26047,782975,404641,1215491,952082,1081638,792466,863877,912092,1313545,761547,4779652,4379884
TOTAL,356071,356071,7076678,7076678,4295529,3460016,4295529,3460016,2876307,1930539,2876307,1930539,19995140,19995140
