""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Aug 21,2024"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,375085,334124,2295380,338270,5783153,6299637,6133731,6927346,2393003,880836,1317978,1004407,18027094,16055856
DII,80860,147489,196161,3152514,2078,355099,0,0,330,0,261226,0,634528,3561229
FII,281160,263392,2424031,1799344,1325995,1772511,1028972,1289901,153628,173845,328341,239302,6131170,4949252
Pro,79139,71239,706816,332260,1688492,1796964,1637015,2006964,606588,744654,1246004,555626,5622653,5849108
TOTAL,816244,816244,5622388,5622388,8799718,10224211,8799718,10224211,3153549,1799335,3153549,1799335,30415445,30415445
