""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 14,2023"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,167685,202831,1563598,209680,3452460,3633691,3639751,3967665,1325867,499091,793575,611517,10642393,9425019
DII,46629,65419,133818,1649171,0,147670,0,0,1,0,159133,0,328118,1873723
FII,127098,68261,1140026,1230447,866716,938846,543292,548575,67463,75021,105143,68303,3215170,2564021
Pro,40359,45260,434875,183019,1206002,1353108,1342136,1557075,465425,493192,800905,387484,3992961,4315878
TOTAL,381771,381771,3272317,3272317,5525179,6073314,5525179,6073314,1858756,1067304,1858756,1067304,18178641,18178641
