""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Apr 30, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,205791,75633,2849272,229166,2329462,1671237,2202648,2388599,1393673,497062,813562,756886,8946497,6466495
DII,75170,36763,273638,4154819,1998,59480,1041,602,169,27696,115607,2431,438151,4311263
FII,27506,211982,4021980,3223174,351772,715640,572110,356275,79478,109365,129784,76582,5305741,4569907
Pro,42884,26973,804566,342297,865299,1008791,772732,709672,677982,821823,1092349,620047,4221345,3564069
TOTAL,351351,351351,7949456,7949456,3548531,3455148,3548531,3455148,2151302,1455946,2151302,1455946,18911734,18911734
