""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jul 29,2024"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,396842,442504,2182750,312476,7722111,6506877,7730769,6940535,1085009,492130,736772,666098,18385719,16829154
DII,72746,151987,106540,3015014,2078,327299,0,0,364,10,30481,0,509037,3197482
FII,321947,170510,2390024,1643581,1633978,1676123,1379697,1501404,57726,73419,106967,80791,6153217,4882950
Pro,78884,105418,521901,230144,2298545,2202421,2546246,2270781,352320,476185,621199,294855,5930256,6068643
TOTAL,870419,870419,5201215,5201215,11656712,10712720,11656712,10712720,1495419,1041744,1495419,1041744,30978229,30978229
