""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 12, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,205394,83097,2581066,295041,2257645,2778612,2393459,3074165,1780022,856971,1215735,1057197,10459710,8118694
DII,78054,39503,197858,4246237,970,27445,0,0,2211,0,170597,0,306538,4456337
FII,26661,199010,3414956,2068386,456539,678980,457311,402704,77778,111769,111388,83401,4766683,3322200
Pro,36120,24619,693386,277602,1043494,1233522,907878,1241690,743865,816369,1106156,644511,4566756,4202456
TOTAL,346229,346229,6887266,6887266,3758648,4718559,3758648,4718559,2603876,1785109,2603876,1785109,20099687,20099687
