""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Nov 05,2024"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,453896,229059,2471580,289492,6522563,5940329,6917757,6601557,1347385,591227,788154,746488,17326980,15572507
DII,139788,170364,91587,3856567,2078,160881,0,0,92,0,171750,0,394426,4198681
FII,85528,236377,3049417,1897026,2067545,2233609,1449931,1430571,76761,95011,160930,112251,7607871,5287086
Pro,50537,93949,637229,206728,1981973,2035277,2206471,2337968,449052,566406,752456,393905,5720474,5991477
TOTAL,729749,729749,6249813,6249813,10574159,10370096,10574159,10370096,1873290,1252644,1873290,1252644,31049751,31049751
