""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jun 25,2024"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,350729,474389,2278107,294369,5946712,9153083,6629153,9491632,1921931,684085,1106262,916448,20334647,18912253
DII,89005,145499,180793,2875375,2078,252479,0,0,1290,126,304932,0,525771,3325806
FII,378004,237169,2251132,1810426,1956710,2578585,1404304,2018269,182888,187628,235029,138895,7534947,5844092
Pro,115333,76014,635740,365602,2065323,2542659,1937366,3016905,694407,734956,1154293,551452,6788418,7101632
TOTAL,933071,933071,5345772,5345772,9970823,14526806,9970823,14526806,2800516,1606795,2800516,1606795,35183783,35183783
