""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jul 23, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,204737,103216,2592154,363630,2421661,2557331,2641246,2842075,2508898,854341,1458971,1160030,11139122,8569169
DII,65056,31260,207369,4199042,5911,14283,0,0,2086,415,417396,0,295120,4647698
FII,32171,177728,3438153,2109065,418425,540459,402265,404952,184995,195454,267249,199183,4809657,3560442
Pro,38114,27874,828876,394815,1100090,1279789,902577,1144834,1006469,1087988,1558832,778985,5341326,4807917
TOTAL,340078,340078,7066552,7066552,3946087,4391862,3946087,4391862,3702448,2138198,3702448,2138198,21585226,21585226
