""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Oct 11,2024"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,502780,314259,2323483,266589,7321851,5098996,7557788,5986430,2303337,710258,1113197,943673,18260705,16181936
DII,117837,183730,116479,3375530,2078,164418,0,0,66,180,263785,0,401058,3823045
FII,190569,340866,2534672,1823537,1838399,1753651,1365295,1165777,127971,167386,500035,295439,6612648,5490949
Pro,114408,86739,699691,208669,2054949,1960174,2294194,1825032,557700,776714,1112057,415426,6163636,5942117
TOTAL,925594,925594,5674325,5674325,11217277,8977239,11217277,8977239,2989074,1654538,2989074,1654538,31438047,31438047
