""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on May 08,2024"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,431018,267123,2310644,240722,7249996,4515823,7293982,5529332,1736783,529876,1020910,862403,16774140,15214472
DII,66455,101868,106161,3023623,2078,205422,0,0,306,148,206048,0,380570,3331539
FII,152860,244108,2094189,1710195,1497195,1641664,1262975,1070865,115075,142747,126551,81465,5643730,4496159
Pro,52954,90188,713129,249583,2203897,2168267,2396209,1930979,582588,747347,1081243,476250,6468182,6224452
TOTAL,703287,703287,5224123,5224123,10953166,8531176,10953166,8531176,2434752,1420118,2434752,1420118,29266622,29266622
