""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jun 30, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,138935,129345,2244852,292983,2212116,1903694,2476424,2082769,1021760,468774,744909,692779,7990131,6419209
DII,78304,48099,121748,4003040,70,18383,0,0,2086,70,45033,0,220661,4096172
FII,51034,89157,3520669,1940300,375104,390817,378882,373472,130316,110027,201130,161132,4577967,3144074
Pro,39419,41091,608641,259587,1158437,832826,890422,689478,520444,641513,683534,366473,3801281,2930585
TOTAL,307692,307692,6495910,6495910,3745728,3145720,3745728,3145720,1674606,1220384,1674606,1220384,16590040,16590040
