""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Feb 12,2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,246805,102907,2580437,317539,3270916,2184107,3209342,2443651,2590136,746904,1188077,927880,11619305,8189396
DII,76172,49949,225417,4171479,70,14984,0,0,4594,0,386251,0,321237,4607679
FII,40458,227279,3481825,2304700,656495,673625,618351,475534,240341,267069,561517,305794,5359813,4493175
Pro,47086,30386,811663,305624,1132786,983371,1232575,936902,895283,998929,1594509,779228,4869118,4879225
TOTAL,410521,410521,7099342,7099342,5060268,3856087,5060268,3856087,3730354,2012902,3730354,2012902,22169474,22169474
