timestamp_ist,open,high,low,close,volume
2026-08-04 09:07:32,1675,1675,1675,1675,684
2026-08-04 09:15:53,1668,1668,1654.6,1655.2,1503
2026-08-04 09:16:56,1653.2,1654.3,1651.2,1654.3,1364
2026-08-04 09:17:57,1654,1654,1652,1652.3,767
2026-08-04 09:18:58,1652.3,1653.2,1649.5,1649.5,2470
2026-08-04 09:19:59,1650.1,1652.1,1646.5,1646.8,3228
2026-08-04 09:20:57,1647,1647.5,1646.2,1646.7,1206
2026-08-04 09:21:53,1648,1648.8,1647.6,1648.3,910
2026-08-04 09:22:57,1647.7,1648.3,1646.7,1647.7,1948
2026-08-04 09:23:59,1647.3,1648.8,1647.3,1648.1,1684
2026-08-04 09:24:54,1648.1,1649.1,1647.4,1647.4,962
2026-08-04 09:25:59,1647.5,1648.1,1645.8,1648,828
2026-08-04 09:26:55,1648.3,1649.4,1648.3,1649.2,368
2026-08-04 09:27:55,1648.5,1648.7,1647.4,1648.1,770
2026-08-04 09:28:55,1648.2,1648.8,1647.9,1648.4,220
2026-08-04 09:29:58,1648.3,1648.6,1646.6,1646.7,1352
2026-08-04 09:30:59,1647.2,1647.2,1645.2,1645.7,1365
2026-08-04 09:31:54,1646.5,1648.5,1646.5,1647.7,406
2026-08-04 09:32:59,1648.6,1648.8,1648,1648.4,619
2026-08-04 09:33:57,1648.8,1649.4,1648.8,1649.3,650
2026-08-04 09:34:59,1649.3,1649.3,1648.6,1649,72
2026-08-04 09:35:59,1648.8,1649.2,1645.9,1646.9,2390
2026-08-04 09:36:59,1645.9,1647.5,1645.9,1646.5,246
2026-08-04 09:37:57,1648,1648,1646.7,1646.9,525
2026-08-04 09:38:53,1646.5,1646.6,1645.9,1646.5,407
2026-08-04 09:39:57,1647,1647,1646.2,1646.2,282
2026-08-04 09:40:54,1646.3,1647.3,1646.3,1647.3,1378
2026-08-04 09:41:58,1647.6,1649.5,1647.6,1649.5,700
2026-08-04 09:42:59,1649.1,1649.8,1649.1,1649.8,496
2026-08-04 09:43:59,1649.9,1650.4,1649.9,1650.4,373
2026-08-04 09:44:57,1650.5,1651.3,1649.6,1651.3,1195
2026-08-04 09:45:59,1651.7,1653.3,1651.6,1652.8,636
2026-08-04 09:46:59,1653.6,1654.2,1652.9,1653.9,915
2026-08-04 09:47:55,1653.2,1654.5,1651.5,1651.7,1340
2026-08-04 09:48:59,1651.6,1652.1,1650.6,1651.3,546
2026-08-04 09:49:59,1652.1,1652.5,1651.3,1652.5,137
2026-08-04 09:50:59,1652.4,1652.4,1650.5,1650.5,898
2026-08-04 09:51:59,1651.3,1651.3,1650.4,1651,99
2026-08-04 09:52:57,1651,1651.1,1651,1651,139
2026-08-04 09:53:56,1650.3,1651.2,1650.2,1650.5,551
2026-08-04 09:54:59,1650.6,1651.5,1650.6,1651.4,152
2026-08-04 09:55:57,1651.5,1652.2,1651.4,1652.2,281
2026-08-04 09:56:59,1652.2,1652.8,1650.1,1650.1,1203
2026-08-04 09:57:59,1651.3,1651.4,1650.4,1651.4,81
2026-08-04 09:58:59,1651,1651.2,1650.2,1651.1,178
2026-08-04 09:59:59,1650.4,1651.2,1650.4,1651.1,319
2026-08-04 10:00:59,1651.1,1652,1650.5,1651.5,449
2026-08-04 10:01:59,1651.4,1651.6,1650.2,1651.1,2141
2026-08-04 10:02:54,1651,1651.2,1650.1,1650.6,402
2026-08-04 10:03:55,1650.6,1651.2,1650.6,1650.7,173
2026-08-04 10:04:57,1650.8,1651.4,1650.8,1651.1,172
2026-08-04 10:05:59,1651.6,1651.6,1650.7,1650.7,389
2026-08-04 10:06:58,1649,1649,1645.3,1645.3,3963
2026-08-04 10:07:57,1645.3,1645.3,1643.4,1643.7,4017
2026-08-04 10:08:57,1643.7,1644.5,1643.7,1644.1,853
