timestamp_ist,open,high,low,close,volume
1995-10-04 00:00:00,1227.82,1227.82,1227.82,1227.82,0
1995-10-05 00:00:00,1233.61,1233.61,1233.61,1233.61,0
1995-10-06 00:00:00,1240.97,1240.97,1240.97,1240.97,0
1995-10-09 00:00:00,1248.02,1248.02,1248.02,1248.02,0
1995-10-10 00:00:00,1241.01,1241.01,1241.01,1241.01,0
1995-10-11 00:00:00,1241,1241,1241,1241,0
1995-10-12 00:00:00,1238.65,1238.65,1238.65,1238.65,0
1995-10-13 00:00:00,1230.18,1230.18,1230.18,1230.18,0
1995-10-16 00:00:00,1222.6,1222.6,1222.6,1222.6,0
1995-10-17 00:00:00,1206.68,1206.68,1206.68,1206.68,0
1995-10-18 00:00:00,1208.76,1208.76,1208.76,1208.76,0
1995-10-19 00:00:00,1199.57,1199.57,1199.57,1199.57,0
1995-10-20 00:00:00,1193.76,1193.76,1193.76,1193.76,0
1995-10-23 00:00:00,1187.79,1187.79,1187.79,1187.79,0
1995-10-24 00:00:00,1178.49,1178.49,1178.49,1178.49,0
1995-10-25 00:00:00,1190.98,1190.98,1190.98,1190.98,0
1995-10-26 00:00:00,1173.08,1173.08,1173.08,1173.08,0
1995-10-27 00:00:00,1174.16,1174.16,1174.16,1174.16,0
1995-10-30 00:00:00,1168.01,1168.01,1168.01,1168.01,0
1995-10-31 00:00:00,1167.18,1167.18,1167.18,1167.18,0
1995-11-01 00:00:00,1173.03,1173.03,1173.03,1173.03,0
1995-11-02 00:00:00,1170.11,1170.11,1170.11,1170.11,0
1995-11-03 00:00:00,1166.07,1166.07,1166.07,1166.07,0
1995-11-06 00:00:00,1158.21,1158.21,1158.21,1158.21,0
1995-11-07 00:00:00,1150.29,1150.29,1150.29,1150.29,0
1995-11-08 00:00:00,1121.75,1121.75,1121.75,1121.75,0
1995-11-09 00:00:00,1100.47,1100.47,1100.47,1100.47,0
1995-11-10 00:00:00,1089.95,1089.95,1089.95,1089.95,0
1995-11-13 00:00:00,1059.83,1059.83,1059.83,1059.83,0
