timestamp_ist,open,high,low,close,volume
2001-01-01 00:00:00,1000,1000,1000,1000,0
2001-01-02 00:00:00,1035.76,1035.76,1035.76,1035.76,0
2001-01-03 00:00:00,1063.91,1063.91,1063.91,1063.91,0
2001-01-04 00:00:00,1057.2,1057.2,1057.2,1057.2,0
2001-01-05 00:00:00,1058.76,1058.76,1058.76,1058.76,0
2001-01-08 00:00:00,1050.88,1050.88,1050.88,1050.88,0
2001-01-09 00:00:00,1044.28,1044.28,1044.28,1044.28,0
2001-01-10 00:00:00,1032.77,1032.77,1032.77,1032.77,0
2001-01-11 00:00:00,1036.05,1036.05,1036.05,1036.05,0
2001-01-12 00:00:00,1055.55,1055.55,1055.55,1055.55,0
2001-01-15 00:00:00,1076.79,1076.79,1076.79,1076.79,0
2001-01-16 00:00:00,1090.31,1090.31,1090.31,1090.31,0
2001-01-17 00:00:00,1080.5,1080.5,1080.5,1080.5,0
2001-01-18 00:00:00,1093.21,1093.21,1093.21,1093.21,0
2001-01-19 00:00:00,1105.67,1105.67,1105.67,1105.67,0
2001-01-22 00:00:00,1130.37,1130.37,1130.37,1130.37,0
2001-01-23 00:00:00,1134.27,1134.27,1134.27,1134.27,0
2001-01-24 00:00:00,1144.02,1144.02,1144.02,1144.02,0
2001-01-25 00:00:00,1169.8,1169.8,1169.8,1169.8,0
2001-01-29 00:00:00,1126.46,1126.46,1126.46,1126.46,0
2001-01-30 00:00:00,1151.97,1151.97,1151.97,1151.97,0
2001-01-31 00:00:00,1150.3,1150.3,1150.3,1150.3,0
2001-02-01 00:00:00,1155.72,1155.72,1155.72,1155.72,0
2001-02-02 00:00:00,1198.25,1198.25,1198.25,1198.25,0
2001-02-05 00:00:00,1238.04,1238.04,1238.04,1238.04,0
2001-02-06 00:00:00,1235.16,1235.16,1235.16,1235.16,0
2001-02-07 00:00:00,1241.87,1241.87,1241.87,1241.87,0
2001-02-08 00:00:00,1251.84,1251.84,1251.84,1251.84,0
2001-02-09 00:00:00,1256.02,1256.02,1256.02,1256.02,0
2001-02-12 00:00:00,1280.38,1280.38,1280.38,1280.38,0
2001-02-13 00:00:00,1281.53,1281.53,1281.53,1281.53,0
2001-02-14 00:00:00,1284.16,1284.16,1284.16,1284.16,0
2001-02-15 00:00:00,1296.8,1296.8,1296.8,1296.8,0
2001-02-16 00:00:00,1268.83,1268.83,1268.83,1268.83,0
2001-02-19 00:00:00,1263.11,1263.11,1263.11,1263.11,0
2001-02-20 00:00:00,1264.32,1264.32,1264.32,1264.32,0
2001-02-21 00:00:00,1252.6,1252.6,1252.6,1252.6,0
2001-02-22 00:00:00,1253.63,1253.63,1253.63,1253.63,0
2001-02-23 00:00:00,1222.14,1222.14,1222.14,1222.14,0
2001-02-26 00:00:00,1211.75,1211.75,1211.75,1211.75,0
2001-02-27 00:00:00,1204.15,1204.15,1204.15,1204.15,0
2001-02-28 00:00:00,1225.3,1225.3,1225.3,1225.3,0
2001-03-01 00:00:00,1273.5,1273.5,1273.5,1273.5,0
2001-03-02 00:00:00,1255.94,1255.94,1255.94,1255.94,0
2001-03-05 00:00:00,1215.54,1215.54,1215.54,1215.54,0
2001-03-07 00:00:00,1230.28,1230.28,1230.28,1230.28,0
2001-03-08 00:00:00,1230.76,1230.76,1230.76,1230.76,0
2001-03-09 00:00:00,1205.47,1205.47,1205.47,1205.47,0
2001-03-12 00:00:00,1175.26,1175.26,1175.26,1175.26,0
2001-03-13 00:00:00,1110.04,1110.04,1110.04,1110.04,0
2001-03-14 00:00:00,1118.42,1118.42,1118.42,1118.42,0
2001-03-15 00:00:00,1129.11,1129.11,1129.11,1129.11,0
2001-03-16 00:00:00,1107.51,1107.51,1107.51,1107.51,0
2001-03-19 00:00:00,1110.63,1110.63,1110.63,1110.63,0
2001-03-20 00:00:00,1101.37,1101.37,1101.37,1101.37,0
2001-03-21 00:00:00,1152.87,1152.87,1152.87,1152.87,0
2001-03-22 00:00:00,1131.3,1131.3,1131.3,1131.3,0
2001-03-23 00:00:00,1094.15,1094.15,1094.15,1094.15,0
2001-03-26 00:00:00,1097.23,1097.23,1097.23,1097.23,0
2001-03-27 00:00:00,1120.67,1120.67,1120.67,1120.67,0
2001-03-28 00:00:00,1155.79,1155.79,1155.79,1155.79,0
2001-03-29 00:00:00,1156.42,1156.42,1156.42,1156.42,0
2001-03-30 00:00:00,1135.41,1135.41,1135.41,1135.41,0
2001-04-02 00:00:00,1110.75,1110.75,1110.75,1110.75,0
2001-04-03 00:00:00,1123.49,1123.49,1123.49,1123.49,0
2001-04-04 00:00:00,1123.61,1123.61,1123.61,1123.61,0
2001-04-06 00:00:00,1119.68,1119.68,1119.68,1119.68,0
2001-04-09 00:00:00,1094.43,1094.43,1094.43,1094.43,0
2001-04-10 00:00:00,1056.01,1056.01,1056.01,1056.01,0
2001-04-11 00:00:00,1048.11,1048.11,1048.11,1048.11,0
2001-04-12 00:00:00,1002.24,1002.24,1002.24,1002.24,0
2001-04-16 00:00:00,1030.49,1030.49,1030.49,1030.49,0
2001-04-17 00:00:00,1054.99,1054.99,1054.99,1054.99,0
2001-04-18 00:00:00,1092.6,1092.6,1092.6,1092.6,0
2001-04-19 00:00:00,1135.21,1135.21,1135.21,1135.21,0
2001-04-20 00:00:00,1122.89,1122.89,1122.89,1122.89,0
2001-04-23 00:00:00,1124.86,1124.86,1124.86,1124.86,0
2001-04-24 00:00:00,1118.42,1118.42,1118.42,1118.42,0
