timestamp,open,high,low,close,volume,oi
2026-03-11T00:00:00,1049.0,1049.0,1049.0,1049.0,167,
2026-03-27T00:00:00,1048.5,1048.5,1048.5,1048.5,25,
2026-04-01T00:00:00,1033.2,1033.2,1033.2,1033.2,20,
2026-04-15T00:00:00,1033.2,1033.2,1033.2,1033.2,25,
2026-04-17T00:00:00,1065.0,1065.0,1065.0,1065.0,8,
2026-04-23T00:00:00,1065.0,1065.0,1065.0,1065.0,59,
2026-04-24T00:00:00,1062.5,1062.5,1062.5,1062.5,45,
2026-04-27T00:00:00,1048.2,1048.2,1048.2,1048.2,25,
2026-04-28T00:00:00,1051.0,1051.0,1051.0,1051.0,10,
2026-05-12T00:00:00,1053.99,1065.0,1053.99,1065.0,18,
2026-05-19T00:00:00,1065.0,1065.0,1065.0,1065.0,3,
2026-05-21T00:00:00,1071.8,1071.8,1071.8,1071.8,25,
2026-05-27T00:00:00,1075.0,1075.0,1075.0,1075.0,25,
2026-06-18T00:00:00,970.1,1010.0,970.1,1010.0,302,
2026-06-22T00:00:00,999.01,999.01,999.0,999.0,16,
2026-06-23T00:00:00,999.0,999.0,999.0,999.0,50,
2026-06-24T00:00:00,999.0,999.0,999.0,999.0,111,
2026-06-25T00:00:00,999.0,999.0,999.0,999.0,104,
2026-07-17T00:00:00,995.0,995.0,995.0,995.0,25,
2026-07-20T00:00:00,1001.0,1005.0,1001.0,1005.0,86,
2026-08-05T00:00:00,1005.0,1005.0,1005.0,1005.0,1,
2026-08-12T00:00:00,1018.0,1018.0,1018.0,1018.0,10,
2026-08-31T00:00:00,1012.91,1013.0,1012.91,1013.0,51,
