symbol,longName,sector,industry,marketCap,currentPrice,trailingPE,forwardPE,priceToBook,returnOnEquity,debtToEquity,profitMargins,dividendYield,beta,trailingEps,totalRevenue,bookValue,fiftyTwoWeekHigh,fiftyTwoWeekLow
CYIENT,Cyient Limited,Industrials,Conglomerates,115312099328,1100.8,32.32893,15.493004,2.1403186,,7.528,0.04955,2.88,0.657,34.05,76320997376,514.316,1284.7,750.3
DCMSHRIRAM,DCM Shriram Limited,Industrials,Conglomerates,157951918080,1020.0,11.101437,23.803968,2.1141036,,37.802,0.103520006,1.43,-0.377,91.88,138404806656,482.474,1414.4,945.1
DLF,DLF Limited,Real Estate,Real Estate - Development,1687915069440,681.9,38.031235,26.824799,3.711869,0.10102,0.673,0.65791,1.17,0.39,17.93,67576578048,183.708,794.8,489.4
DOMS,DOMS Industries Limited,Industrials,Business Equipment & Supplies,134018056192,2208.3,62.100674,42.06219,10.985966,,10.849,0.08929,0.17,-0.291,35.56,24345962496,201.011,2755.0,2023.9
DABUR,Dabur India Limited,Consumer Defensive,Household & Personal Products,675700211712,380.9,34.377254,28.904453,5.9161577,,10.907,0.14551,2.17,0.413,11.08,135523803136,64.383,551.65,377.35
DALBHARAT,Dalmia Bharat Limited,Basic Materials,Building Materials,328900870144,1752.0,35.138386,23.960144,1.8277739,,40.987,0.062030002,0.57,0.189,49.86,150580002816,958.543,2496.3,1605.0
DATAPATTNS,Data Patterns (India) Limited,Industrials,Aerospace & Defense,255846727680,4570.0,95.84731,56.451115,14.737989,,0.304,0.28459,0.22,0.538,47.68,9414700032,310.083,5000.0,2131.0
DEEPAKFERT,Deepak Fertilisers And Petrochemicals Corporation Limited,Basic Materials,Chemicals,172463407104,1364.8,17.517649,10.932978,2.5175936,,75.969,0.08131,0.73,0.049,77.91,121035399168,542.105,1681.0,866.4
DEEPAKNTR,Deepak Nitrite Limited,Basic Materials,Chemicals,233927704576,1715.1,29.895416,27.644217,4.0077863,,27.903,0.091359995,0.44,0.454,57.37,85747900416,427.942,1904.4,1280.0
DELHIVERY,Delhivery Limited,Industrials,Integrated Freight & Logistics,342992125952,457.9,369.2742,41.571228,3.528034,,15.098,0.00839,,0.166,1.24,111450357760,129.789,524.0,374.45
DEVYANI,Devyani International Limited,Consumer Cyclical,Restaurants,171773181952,139.32,,134.49954,11.141144,,203.327,-0.0047400002,,0.348,-0.22,58350260224,12.505,191.0,91.55
DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2415763914752,9100.0,82.64463,60.47557,14.41301,,0.042,0.26046,0.33,0.245,110.11,112299999232,631.374,9467.0,5636.5
DIXON,Dixon Technologies (India) Limited,Technology,Consumer Electronics,865818968064,14240.0,46.2969,50.628956,15.862319,,18.457,0.03639,0.07,-0.151,307.58,515848011776,897.725,18471.0,9600.0
LALPATHLAB,Dr. Lal PathLabs Limited,Healthcare,Diagnostics & Research,316422881280,1895.0,58.343597,43.56549,12.61584,,7.83,0.18745,1.07,0.188,32.48,28908109824,150.208,1988.9,1272.6
DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,958769463296,1151.0,28.985144,19.414324,2.5005105,0.088369995,18.605,0.09996,0.7,0.242,39.71,331186012160,460.306,1414.9,1101.0
EIDPARRY,E.I.D.- Parry (India) Limited,Basic Materials,Agricultural Inputs,139161354240,782.0,30.053804,10.440587,1.5821153,,23.647,0.01197,,0.028,26.02,388318494720,494.275,1119.0,698.2
EIHOTEL,EIH Limited,Consumer Cyclical,Lodging,182481256448,291.8,25.641476,21.144926,3.4677408,,4.666,0.23142,0.51,-0.296,11.38,30748119040,84.147,434.8,271.15
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers,2094737784832,7630.5,36.36342,28.090836,8.339208,,2.048,0.23211999,1.07,0.224,209.84,248687296512,915.015,8230.0,6442.0
ELECON,Elecon Engineering Company Limited,Industrials,Specialty Industrial Machinery,97165172736,433.0,41.081593,18.425531,4.2138658,,11.824,0.09852,0.46,0.519,10.54,23960399872,102.756,634.9,352.0
