symbol,longName,sector,industry,marketCap,currentPrice,trailingPE,forwardPE,priceToBook,returnOnEquity,debtToEquity,profitMargins,dividendYield,beta,trailingEps,totalRevenue,bookValue,fiftyTwoWeekHigh,fiftyTwoWeekLow
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,1243737227264,8650.0,59.523808,39.69946,13.119458,,85.146,0.07906,0.23,0.197,145.32,264299003904,659.326,9050.0,6696.5
APOLLOTYRE,Apollo Tyres Limited,Consumer Cyclical,Auto Parts,272547659776,430.85,15.969237,12.8485565,1.6305438,,21.987,0.05829,2.56,0.149,26.98,293076303872,264.237,540.5,365.3
APTUS,Aptus Value Housing Finance India Limited,Financial Services,Mortgage Finance,129539735552,258.65,13.149466,9.895868,2.5595984,,156.2,0.61761004,1.93,0.692,19.67,15942531072,101.051,353.25,193.03
ASAHIINDIA,Asahi India Glass Limited,Consumer Cyclical,Auto Parts,243200540672,954.0,54.827587,41.12069,6.181198,,55.868,0.08457,0.21,0.373,17.4,51745800192,154.339,1074.0,775.1
ASHOKLEY,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,992681394176,169.0,28.547297,20.627136,6.970222,,344.737,0.06021,2.07,0.45,5.92,577231323136,24.246,215.42,131.37
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2422781771776,2527.3,50.75919,41.713696,11.343,,17.847,0.12813,1.09,0.282,49.79,371869286400,222.807,2985.7,2115.0
ASTERDM,Aster DM Quality Care Limited,Healthcare,Medical Care Facilities,684567953408,785.35,128.11581,39.183548,8.844529,,45.921,0.065359995,0.51,-0.076,6.13,48760299520,88.795,891.3,519.1
ASTRAL,Astral Limited,Industrials,Building Products & Equipment,401067868160,1492.9,69.92506,44.332706,9.883613,,6.168,0.084809996,0.27,0.173,21.35,67854000128,151.048,1768.7,1311.6
ATHERENERG,Ather Energy Limited,Consumer Cyclical,Auto Manufacturers,627452805120,1584.0,,351.11752,23.561613,,25.819,-0.0919,,,-10.14,42440998912,67.228,1744.0,492.7
ATUL,Atul Ltd,Basic Materials,Specialty Chemicals,187720630272,6376.0,23.603449,20.557934,3.017065,,2.907,0.119729996,0.47,0.187,270.13,66434899968,2113.312,7180.0,5560.5
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,951157194752,1653.1,25.8418,17.779022,2.5339098,,21.31,0.10627,0.24,0.033,63.97,349352886272,652.391,1717.0,1035.4
AIIL,Authum Investment & Infrastructure Limited,Financial Services,Capital Markets,440323407872,518.5,27.104027,,2.7318518,,24.59,0.82054,0.04,-0.022,19.13,25575999488,189.798,683.0,400.0
DMART,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,2458967343104,3770.0,79.99151,54.709812,10.028035,,9.913,0.042919997,,0.225,47.13,712555692032,375.946,4818.0,3529.0
AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional,3963161149440,1273.0,14.325906,10.063241,1.7740998,0.13352999,,0.36031,0.08,0.42,88.86,770813591552,717.547,1418.3,1048.7
BEML,BEML Limited,Industrials,Conglomerates,171408769024,2058.0,96.16823,28.445059,5.842508,,10.529,0.03934,0.86,0.685,21.4,45361598464,352.246,2275.75,1355.0
BLS,BLS International Services Limited,Industrials,Specialty Business Services,99176857600,241.0,14.093567,11.209302,4.02633,,15.468,0.22207001,1.05,-0.213,17.1,31781763072,59.856,372.45,218.9
BSE,BSE Limited,Financial Services,Financial Data & Stock Exchanges,1384818933760,3409.8,49.503487,37.922295,17.560991,,0.0,0.48918,0.29,0.443,68.88,57884401664,194.169,4446.8,2021.5
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,3275387043840,11919.0,28.32866,25.02638,8.578844,,56.352,0.16251,1.26,0.635,420.74,723617710080,1389.348,12470.0,8491.5
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,6597278433280,1060.5,32.570637,20.992735,5.7843037,,314.833,0.43495,0.51,0.308,32.56,466800803840,183.341,1176.4,787.9
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,3152482140160,1970.0,31.151169,20.753422,4.042253,,256.404,0.06471,0.07,0.371,63.24,1567607357440,487.352,2195.0,1597.0
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Asset Management,1242258210816,11162.0,14.025256,,1.6982206,0.11598,0.012,7.34641,1.43,0.151,795.85,12055799808,6572.762,13880.0,8588.0
BAJAJHFL,Bajaj Housing Finance Limited,Financial Services,Mortgage Finance,692861403136,83.19,25.755419,19.002045,3.0762122,0.12679,460.74,0.63176996,,,3.23,42615701504,27.043,117.0,72.65
BALKRISIND,Balkrishna Industries Limited,Consumer Cyclical,Auto Parts,440956485632,2281.0,31.397108,22.627594,4.0250573,,35.269,0.1233,0.75,0.321,72.65,106426400768,566.7,2775.0,1970.0
BALRAMCHIN,Balrampur Chini Mills Limited,Consumer Defensive,Confectioners,146330255360,691.55,37.934723,18.515396,3.3755224,,76.606,0.05829,1.01,0.374,18.23,63656648704,204.872,780.95,393.55
BANDHANBNK,Bandhan Bank Limited,Financial Services,Banks - Regional,265752838144,164.95,19.636906,8.077671,1.0376563,,,0.13617,0.91,0.792,8.4,99382173696,158.964,220.76,134.25
BANKBARODA,Bank of Baroda Limited,Financial Services,Banks - Regional,1235955613696,239.0,6.8071775,5.5679717,0.73316705,0.113170005,,0.27392,3.56,0.422,35.11,662978953216,325.983,325.5,233.46
BANKINDIA,Bank of India,Financial Services,Banks - Regional,660136787968,145.0,5.368382,5.5696397,0.72592556,0.13697,,0.34992,3.21,0.775,27.01,336627073024,199.745,178.36,112.51
MAHABANK,Bank of Maharashtra,Financial Services,Banks - Regional,661089091584,85.95,8.7793665,6.876,1.8524107,0.22961001,,0.53409,2.56,0.777,9.79,141095370752,46.399,94.5,52.28
BATAINDIA,Bata India Limited,Consumer Cyclical,Footwear & Accessories,86499033088,673.0,59.190853,31.947382,5.42108,,86.9,0.041149996,5.05,0.376,11.37,35525881856,124.145,1282.5,605.0
BAYERCROP,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,179543654400,3995.0,24.540821,21.293106,6.054003,,2.758,0.13084,3.76,0.223,162.79,55954001920,659.894,5489.0,3935.0
BELRISE,Belrise Industries Limited,Consumer Cyclical,Auto Parts,229215010816,237.0,41.725353,25.878786,4.035416,,29.1,0.05175,0.24,,5.68,97933606912,58.73,268.2,136.54
BERGEPAINT,Berger Paints India Limited,Basic Materials,Specialty Chemicals,565453062144,484.95,46.495686,37.41884,8.175841,,9.165,0.099209994,0.82,0.441,10.43,122632396800,59.315,594.55,391.1
BDL,Bharat Dynamics Limited,Industrials,Aerospace & Defense,460035948544,1255.0,88.50494,40.24123,10.839243,,0.007,0.18827,0.39,0.321,14.18,27661031424,115.783,1654.0,1086.0
BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense,2963018874880,405.35,48.31347,35.91939,12.35183,,0.273,0.21403,0.62,0.284,8.39,287173509120,32.817,473.45,369.9
BHARATFORG,Bharat Forge Limited,Industrials,Metal Fabrication,935141376000,1956.0,131.54001,40.59481,9.76155,,76.475,0.040260002,0.43,0.524,14.87,175428452352,200.378,2295.0,1140.6
BHEL,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery,1501117546496,431.1,61.762177,31.276913,5.7411876,,31.312,0.06758,0.32,0.845,6.98,359929905152,75.089,446.5,213.8
BPCL,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,1348855136256,315.7,7.874782,7.9089746,1.3469982,,54.332,0.034679998,6.34,0.87,40.09,4939535876096,234.373,391.65,266.6
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,11479130570752,1840.0,38.46154,22.381876,7.0911326,0.20151,100.415,0.1314,1.3,-0.004,47.84,2200493096960,259.479,2174.5,1740.5
BHARTIHEXA,Bharti Hexacom Limited,Communication Services,Telecom Services,750000013312,1500.0,41.10715,23.565294,10.467258,,85.654,0.18999,1.2,0.073,36.49,96006995968,143.304,1955.6,1430.0
BIKAJI,Bikaji Foods International Limited,Consumer Defensive,Packaged Foods,146179325952,583.0,56.712063,41.75129,9.09644,,17.531,0.08406,0.21,0.23,10.28,30754557952,64.091,801.3,582.0
GROWW,Billionbrains Garage Ventures Limited,Financial Services,Capital Markets,1204261748736,194.5,49.365482,30.480114,12.458365,,3.028,0.45354,,,3.94,53792428032,15.612,227.2,112.0
BIOCON,Biocon Limited,Healthcare,Biotechnology,647083917312,397.4,116.19883,36.109974,1.8911473,,42.145,0.0286,0.13,0.303,3.42,173210992640,210.137,447.15,337.05
BSOFT,Birlasoft Limited,Technology,Information Technology Services,80706134016,288.6,14.126285,11.9079895,1.9611974,,3.422,0.10601,2.25,0.369,20.43,54044561408,147.155,474.0,270.2
BLUEDART,Blue Dart Express Limited,Industrials,Integrated Freight & Logistics,118639673344,5000.0,41.390728,27.11987,6.6762447,,,0.04516,0.5,0.219,120.8,63566798848,748.924,7036.0,4628.5
BLUEJET,Blue Jet Healthcare Limited,Healthcare,Biotechnology,99074777088,571.15,42.12021,29.297873,7.285355,,3.102,0.26523,0.21,0.616,13.56,8856760320,78.397,759.5,325.0
BLUESTARCO,Blue Star Limited,Industrials,Building Products & Equipment,305099472896,1484.0,59.887005,38.4521,8.891392,,23.588,0.03979,0.57,0.146,24.78,127976603648,166.903,2032.9,1432.5
BBTC,The Bombay Burmah Trading Corporation Limited,Consumer Defensive,Packaged Foods,104315969536,1495.1,8.08818,4.002945,1.4813442,,16.57,0.063829996,2.27,0.607,184.85,202108305408,1009.286,2135.0,1314.6
BOSCHLTD,Bosch Limited,Consumer Cyclical,Auto Parts,1381007360000,46820.0,58.47968,41.036877,9.301945,,0.8,0.11328,0.58,0.673,800.62,208610000896,5033.356,50000.0,28610.0
FIRSTCRY,Brainbees Solutions Limited,Consumer Cyclical,Internet Retail,87376101376,180.07,,53.40503,1.7947594,,29.762,-0.01422,,0.409,-2.58,87916093440,100.331,438.7,168.15
BRIGADE,Brigade Enterprises Limited,Real Estate,Real Estate - Development,226030518272,693.0,35.05311,18.52729,33.137283,,84.316,0.12562999,0.29,0.177,19.77,55316299776,20.913,802.0125,450.75
BRITANNIA,Britannia Industries Limited,Consumer Defensive,Packaged Foods,1228789514240,5101.5,47.170597,39.197174,24.062998,,26.875,0.13376,1.77,0.413,108.15,194684600320,212.006,6319.5,5035.0
MAPMYINDIA,C. E. Info Systems Limited,Technology,Software - Infrastructure,53249650688,972.4,38.77193,23.617231,5.8842754,,0.778,0.28,0.36,-0.0,25.08,4922100224,165.254,1998.0,795.0
CCL,CCL Products (India) Limited,Consumer Defensive,Packaged Foods,147402211328,1105.5,34.109844,23.295975,6.279537,,56.487,0.0938,0.52,0.033,32.41,46113546240,176.048,1242.2,815.5
CESC,CESC Limited,Utilities,Utilities - Regulated Electric,193533280256,146.0,12.446718,10.334497,1.5453987,,164.311,0.08243,4.1,0.367,11.73,188529999872,94.474,204.5,138.12
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,Electrical Equipment & Parts,1403726069760,891.0,112.35814,63.97792,17.605564,,1.446,0.0975,0.15,0.42,7.93,128207101952,50.609,980.9,525.5
CIEINDIA,CIE Automotive India Limited,Consumer Cyclical,Auto Parts,145959665664,384.75,16.289162,13.5,1.8850961,,6.63,0.05728,1.82,,23.62,66398801920,204.101,526.0,382.25
CRISIL,CRISIL Limited,Financial Services,Financial Data & Stock Exchanges,350292770816,4790.0,39.583504,31.823122,10.70762,0.29052,10.23,0.21434,0.83,0.181,121.01,41258598400,447.345,5115.0,3686.0
CANFINHOME,Can Fin Homes Limited,Financial Services,Mortgage Finance,107462410240,807.05,9.51037,8.513891,1.7969024,,636.585,0.66733,1.98,0.409,84.86,16928704512,449.134,971.5,733.0
