scheme_code,scheme_name,isin_growth,isin_div_reinv,nav,date
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,76.5258,28-Feb-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,76.9153,29-Feb-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,77.9215,01-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,78.4384,04-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,78.2181,05-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,77.469,06-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,77.6371,07-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,76.9784,11-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,75.9869,12-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,73.071,13-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,73.9783,14-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,73.7142,15-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,73.927,18-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,73.0966,19-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,73.4341,20-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,74.7377,21-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,75.2703,22-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,75.2578,26-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,75.6847,27-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,76.1437,28-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,76.1382,31-Mar-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,77.5855,01-Apr-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,78.164,02-Apr-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,78.6794,03-Apr-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,78.6114,04-Apr-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,78.7629,05-Apr-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,79.0445,08-Apr-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,78.8423,09-Apr-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,79.2871,10-Apr-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,78.4076,12-Apr-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,77.4823,15-Apr-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,77.1751,16-Apr-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,76.7207,18-Apr-2024
119658,Aditya Birla Sun Life Value Fund - Direct - IDCW,INF209K01WP9,INF209K01WR5,76.8593,19-Apr-2024
